StudyName,Include,Design,IndependentVariable,IndependentType,DependentVariable,DependentType,DependentSubType,LinkType,TotalSampleSize,InterventionDuration,ExperimentalGroup,ExperimentalGroupN,ExperimentalGroup2,ExperimentalGroup2N,ExperimentalGroup3,ExperimentalGroup3N,ControlGroup,ControlGroupN,MeanAge,PercFemale,AgeGroup,CognitiveStatus,BMIBaseline,SessionAdherence,TestType,TestTypeSub,FitnessMeasure,ChangeinFM,ChangeinFMStandardized,InterventionIntensity,ConversionToNorton2010,ConversionToGarber2011,IntensityAdherence,SessionsPerWeek,DurationInMinutes,WeeklyMinutes,TrueInterventionToincreaseFitness?,refID,Notes
Griffin2011,Y,Intervention,AerobicTraining,Activity,Stroop,NA,NA,Null,42.0,5.0,Aerobic,9.0,Sedentary,5.0,Aerobic,9.0,Sedentary,9.0,22.0,0.0,YoungAdult,CognitivelyNormal,25.3,NaN,CyclingMaxTest,Max,V02Max,9.44,0.2378,60%V02Max,Moderate,Moderate,HrMonitorSupervised,3.0,60.0,180.0,Yes,10.1016/j.physbeh.2011.06.005,"Did 3 week and 5 week, reporting the 5 week. No stroop effect for either. Presumably high adherence. In 5 week group, v02max 39.7 to 49.26. In 3 week group 44.69 to 47.65. Calculated BMI from averages for height/weight"
Eggermont2009,Y,Intervention,AerobicTraining,Activity,DigitSpan,Forward,NA,Null,97.0,6.0,Aerobic,51.0,NA,NaN,NA,NaN,Social,46.0,85.4,81.44,Older,Dementia,NaN,NaN,NA,NA,NA,NaN,NaN,NA,NA,NA,NA,5.0,30.0,150.0,No,10.1136/jnnp.2008.158444,NA
Eggermont2009,Y,Intervention,AerobicTraining,Activity,DigitSpan,Backward,NA,Null,97.0,6.0,Aerobic,51.0,NA,NaN,NA,NaN,Social,46.0,85.4,81.44,Older,Dementia,NaN,NaN,NA,NA,NA,NaN,NaN,NA,NA,NA,NA,5.0,30.0,150.0,No,10.1136/jnnp.2008.158444,NA
Eggermont2009,Y,Intervention,AerobicTraining,Activity,VerbalFluency,Letter,NA,Null,97.0,6.0,Aerobic,51.0,NA,NaN,NA,NaN,Social,46.0,85.4,81.44,Older,Dementia,NaN,NaN,NA,NA,NA,NaN,NaN,NA,NA,NA,NA,5.0,30.0,150.0,No,10.1136/jnnp.2008.158444,NA
Eggermont2009,Y,Intervention,AerobicTraining,Activity,VerbalFluency,Category,NA,Null,97.0,6.0,Aerobic,51.0,NA,NaN,NA,NaN,Social,46.0,85.4,81.44,Older,Dementia,NaN,NaN,NA,NA,NA,NaN,NaN,NA,NA,NA,NA,5.0,30.0,150.0,No,10.1136/jnnp.2008.158444,NA
Eggermont2009,Y,Intervention,AerobicTraining,Activity,ListLearning,RBMT,NA,Null,97.0,6.0,Aerobic,51.0,NA,NaN,NA,NaN,Social,46.0,85.4,81.44,Older,Dementia,NaN,NaN,NA,NA,NA,NaN,NaN,NA,NA,NA,NA,5.0,30.0,150.0,No,10.1136/jnnp.2008.158444,NA
Scherder2005,Y,Intervention,AerobicTraining,Activity,CVLT,Immediate,Dutch,Null,43.0,6.0,Walking,15.0,Handface,15.0,Social,8.0,NoContact,7.0,86.0,90.0,Older,MCI,NaN,NaN,NA,NA,NA,NaN,NaN,NA,NA,NA,NA,3.0,30.0,90.0,UnclearNoData,10.1080/13607860500089930,30 min walk and 15 min Hand face exercises
Scherder2005,Y,Intervention,AerobicTraining,Activity,CVLT,Delayed,Dutch,Null,43.0,6.0,Walking,15.0,Handface,15.0,Social,8.0,NoContact,7.0,86.0,90.0,Older,MCI,NaN,NaN,NA,NA,NA,NaN,NaN,NA,NA,NA,NA,3.0,30.0,90.0,UnclearNoData,10.1080/13607860500089930,30 min walk and 15 min Hand face exercises
Scherder2005,Y,Intervention,AerobicTraining,Activity,CVLT,Recognition,Dutch,Null,43.0,6.0,Walking,15.0,Handface,15.0,Social,8.0,NoContact,7.0,86.0,90.0,Older,MCI,NaN,NaN,NA,NA,NA,NaN,NaN,NA,NA,NA,NA,3.0,30.0,90.0,UnclearNoData,10.1080/13607860500089930,30 min walk and 15 min Hand face exercises
Scherder2005,Y,Intervention,AerobicTraining,Activity,VerbalFluency,Category,NA,Positive,43.0,6.0,Walking,15.0,Handface,15.0,Social,8.0,NoContact,7.0,86.0,90.0,Older,MCI,NaN,NaN,NA,NA,NA,NaN,NaN,NA,NA,NA,NA,3.0,30.0,90.0,UnclearNoData,10.1080/13607860500089930,30 min walk and 15 min Hand face exercises
