StudyName,Include,Design,IndependentVariable,IndependentType,DependentVariable,DependentType,DependentSubType,LinkType,TotalSampleSize,InterventionDuration,ExperimentalGroup,ExperimentalGroupN,ExperimentalGroup2,ExperimentalGroup2N,ExperimentalGroup3,ExperimentalGroup3N,ControlGroup,ControlGroupN,MeanAge,PercFemale,AgeGroup,CognitiveStatus,BMIBaseline,SessionAdherence,TestType,TestTypeSub,FitnessMeasure,ChangeinFM,ChangeinFMStandardized,InterventionIntensity,ConversionToNorton2010,ConversionToGarber2011,IntensityAdherence,SessionsPerWeek,DurationInMinutes,WeeklyMinutes,TrueInterventionToincreaseFitness?,Notes
Griffin2011,Y,Intervention,AerobicTraining,Activity,Stroop,,,Null,42,5,Aerobic,9,Sedentary3week,5,Aerobic3week,9,Sedentary5week,9,22,0,YoungAdult,CognitivelyNormal,25.3,NA,CyclingMaxTest,Max,V02Max,9.44,0.23780,60%V02Max,Moderate,Moderate,HrMonitorSupervised,3,60,180,Yes,"Did 3 week and 5 week, reporting the 5 week. No stroop effect for either. Presumably high adherence. In 5 week group, v02max 39.7 to 49.26. In 3 week group 44.69 to 47.65. Calculated BMI from averages for height/weight"
Eggermont2009,Y,Intervention,AerobicTraining,Activity,DigitSpan,forward,,Null,97,6,Aerobic,51,,,,,Social,46,85.4,81.44,Older,Dementia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,30,150,No,
Eggermont2009,Y,Intervention,AerobicTraining,Activity,DigitSpan,backward,,Null,97,6,Aerobic,51,,,,,Social,46,85.4,81.44,Older,Dementia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,30,150,No,
Eggermont2009,Y,Intervention,AerobicTraining,Activity,VerbalFluency,Letter,,Null,97,6,Aerobic,51,,,,,Social,46,85.4,81.44,Older,Dementia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,30,150,No,
Eggermont2009,Y,Intervention,AerobicTraining,Activity,VerbalFluency,Category,,Null,97,6,Aerobic,51,,,,,Social,46,85.4,81.44,Older,Dementia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,30,150,No,
Eggermont2009,Y,Intervention,AerobicTraining,Activity,ListLearning,RBMT,,Null,97,6,Aerobic,51,,,,,Social,46,85.4,81.44,Older,Dementia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,30,150,No,
Scherder2005,Y,Intervention,AerobicTraining,Activity,CVLT,Immediate,Dutch,Null,43,6,Walking,15,Handface,15,Social,8,NoContact,7,86,90,Older,MCI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,30,90,UnclearNoData,30 min walk and 15 min Hand face exercises 
Scherder2005,Y,Intervention,AerobicTraining,Activity,CVLT,Delayed,Dutch,Null,43,6,Walking,15,Handface,15,Social,8,NoContact,7,86,90,Older,MCI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,30,90,UnclearNoData,30 min walk and 15 min Hand face exercises 
Scherder2005,Y,Intervention,AerobicTraining,Activity,CVLT,Recognition,Dutch,Null,43,6,Walking,15,Handface,15,Social,8,NoContact,7,86,90,Older,MCI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,30,90,UnclearNoData,30 min walk and 15 min Hand face exercises 
Scherder2005,Y,Intervention,AerobicTraining,Activity,VerbalFluency,Category,,Positive,43,6,Walking,15,Handface,15,Social,8,NoContact,7,86,90,Older,MCI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,30,90,UnclearNoData,30 min walk and 15 min Hand face exercises 
